round,date,stability_pass,is_selected_round,is_last_round,oos_icir,oos_sharpe,oos_ls_rtn,turnover,oos_excess_vs_prevlib,d_oos_sharpe,d_oos_icir,test_oos_icir,test_oos_sharpe,test_oos_ls_rtn,test_oos_icir_pct,test_oos_sharpe_pct,test_oos_ls_rtn_pct
11,2015-03-11,False,True,False,7.712362145877045,7.708958149403225,0.03180360104385879,0.30508474576271183,0.0008856366287971762,0.036430974916288994,0.03640434188231367,7.211008650461679,7.2106344667654465,0.029895617545603735,0.8611111111111112,0.8611111111111112,0.8611111111111112
12,2015-04-09,False,False,False,7.6078258613248355,7.605476736421959,0.031590595325869726,0.27586206896551724,-0.00021300571798906626,0.01463448176916371,0.014783663137382774,7.056098643065574,7.05330427283475,0.02955314964530141,0.5555555555555556,0.5555555555555556,0.6388888888888888
13,2015-05-08,False,False,False,7.477469370520294,7.471150980354397,0.031075441239282024,0.3870967741935484,-0.0005151540865877026,0.01899653060067652,0.018435191723914723,6.904115743518694,6.907425296219149,0.029024820950807745,0.16666666666666666,0.16666666666666666,0.16666666666666666
14,2015-06-08,False,False,False,7.441545733302971,7.438596147210886,0.031211215103776477,0.33333333333333337,0.00013577386449445394,0.004603948655234724,0.005080369496250903,6.969640078459804,6.967874323242288,0.029067168501837697,0.4444444444444444,0.4166666666666667,0.2777777777777778
15,2015-07-07,False,False,False,7.574706228804579,7.571041745055951,0.0316080065288768,0.33333333333333337,0.00039679142510032003,0.018730636074910434,0.01883173787106962,7.065268656214347,7.062966621271992,0.02948542235237952,0.6111111111111112,0.5833333333333334,0.5833333333333334
16,2015-08-05,False,False,False,7.446132317630696,7.441987431443336,0.031104434166916703,0.360655737704918,-0.0005035723619600946,0.018251036059371062,0.018183096894945905,6.889091532731715,6.894373652966545,0.029209755249251693,0.08333333333333333,0.1111111111111111,0.3888888888888889
17,2015-09-03,False,False,False,7.279681891265492,7.276738967640703,0.030673268026828755,0.4375,-0.0004311661400879484,0.023369661867100433,0.02353964504284556,6.96718707302302,6.970679340425725,0.028983122546688823,0.4166666666666667,0.4444444444444444,0.1111111111111111
18,2015-10-02,False,False,False,7.51258494398175,7.508743629253914,0.03131763174010445,0.3870967741935484,0.0006443637132756939,0.032810413898718416,0.03293746558694277,7.145479338521197,7.143744358363382,0.029743944603863592,0.8333333333333334,0.8333333333333334,0.8333333333333334
19,2015-11-02,False,False,False,7.433336018725122,7.428733801848569,0.031019898829986264,0.360655737704918,-0.00029773291011818415,0.011315098303976923,0.01120749049014158,6.963588741557335,6.9657980021451795,0.029305607752023396,0.3888888888888889,0.3888888888888889,0.4444444444444444
20,2015-12-01,False,False,False,7.40490134019918,7.400551645332067,0.030924344252189002,0.4375,-9.555457779726259e-05,0.003985558796255839,0.004021270801310539,6.919564125713103,6.920813737902178,0.02912056645601647,0.2222222222222222,0.2222222222222222,0.3055555555555556
21,2015-12-30,False,False,False,7.565194889341755,7.561219311580903,0.03146117356804591,0.5294117647058824,0.0005368293158569092,0.02272183926439375,0.02266893111583479,6.891992115222933,6.895596427181918,0.02904224185394321,0.1388888888888889,0.1388888888888889,0.25
22,2016-01-28,False,False,False,7.342265791966355,7.336999817801367,0.0307747222214128,0.46153846153846156,-0.0006864513466331122,0.031709424905145056,0.031526935295588254,6.8898853383785905,6.888354755634792,0.02883953344735037,0.1111111111111111,0.05555555555555555,0.05555555555555555
23,2016-02-26,False,False,False,7.372621615048158,7.366836198242863,0.03077441730357929,0.48484848484848486,-3.0491783351016544e-07,0.004219501387248803,0.004292961669928319,7.388354038659897,7.388654827946315,0.0304610729816044,1.0,1.0,1.0
24,2016-03-28,False,False,False,7.317431784939183,7.311414997984596,0.030707460566260465,0.46153846153846156,-6.695673731882401e-05,0.00783774130482362,0.007805020624517933,6.941569422675452,6.944125409166141,0.029187600308937658,0.3055555555555556,0.3333333333333333,0.3611111111111111
25,2016-04-26,False,False,False,7.459820768319507,7.4573919372182775,0.031182552645419657,0.4375,0.00047509207915919296,0.020644256725798504,0.02013684314289721,7.076029296150306,7.07684511632931,0.02961220317515104,0.6388888888888888,0.6388888888888888,0.6944444444444444
